what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1294607887468
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1294607887468
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1294607887468
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1294607887468
started,bundle,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.resources",1294607887468
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1294607887468
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1294607887468
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1294607887468
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1294607887468
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1294607887469
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1294607887469
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1294607887469
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1294607887469
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1294607887469
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1294607887469
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1294607887469
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1294607887469
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1294607887469
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1294607887469
os,sysinfo,,,"linux",1294607887479
arch,sysinfo,,,"x86",1294607887479
ws,sysinfo,,,"gtk",1294607887479
locale,sysinfo,,,"en_US",1294607887479
processors,sysinfo,,,"1",1294607887480
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1294607887480
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1294607887480
java.specification.name,sysinfo,,,"Java Platform API Specification",1294607887480
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294607887480
java.specification.version,sysinfo,,,"1.6",1294607887480
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1294607887480
java.version,sysinfo,,,"1.6.0_20",1294607887480
java.vm.info,sysinfo,,,"mixed mode",1294607887480
java.vm.name,sysinfo,,,"OpenJDK Client VM",1294607887480
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1294607887480
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1294607887480
java.vm.specification.version,sysinfo,,,"1.0",1294607887480
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1294607887480
java.vm.version,sysinfo,,,"19.0-b09",1294607887480
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1294607887505
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1294607887543
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1294607887559
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1294607887618
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1294607887626
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1294607887633
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1294607887657
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1294607913070
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1294607938293
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1294607938333
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1294607938420
started,bundle,org.eclipse.jst.common.frameworks,1.1.400.v201005130500,"org.eclipse.jst.common.frameworks",1294607939129
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1294607939505
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1294607939509
started,bundle,org.eclipse.jst.j2ee.web,1.1.400.v201005270700,"org.eclipse.jst.j2ee.web",1294607939509
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1294607939584
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1294607939586
started,bundle,org.eclipse.jst.j2ee.core,1.2.0.v201005200200,"org.eclipse.jst.j2ee.core",1294607939605
started,bundle,org.eclipse.jem,2.0.400.v201005110200,"org.eclipse.jem",1294607939624
